Depth pos->neg,xAxis (mR),yAxis (mR),zAxis (mR)
1,998.147156,188.283875,185.25946
2,1187.709717,255.293716,246.351929
3,1307.61084,318.010132,344.376129
4,1391.101318,363.521606,346.282532
5,1372.205811,380.509308,348.509247
6,1266.689697,414.119507,370.651703
7,1239.842285,426.223511,420.99823
9,985.761658,479.475891,434.289825
12,719.760681,479.193115,550.160522
15,469.068024,469.068024,469.068024
18,352.051483,520.281494,534.46283
21,233.594788,523.292908,571.049438
23,179.260956,498.435577,547.835815
24,152.173706,479.544312,528.664063
25,136.965912,463.261963,513.856995
26,123.322304,424.47998,536.652466
27,114.020416,402.660553,461.022369
28,93.249496,295.652985,386.216827
29,84.258644,249.995972,267.468658
